41	1	Dept Mkt & Supply Chain Management
42	0	London Business Sch
42	0	Operat & Technol Management Dept
42	1	Boston Univ
42	1	Sch Management
42	1	Operat Management Dept
43	0	Katholieke Univ Leuven
43	0	Dept Appl Econ
43	0	Operat Management Grp
44	0	No Illinois Univ
44	0	Dept Operat Management & Informat Syst OMIS
44	1	No Illinois Univ
44	1	Div Stat
45	0	CUNY Bernard M Baruch Coll
45	0	Zicklin Sch Business
45	0	Dept Management
45	1	Michigan State Univ
45	1	Eli Broad Grad Sch Management
45	1	Dept Mkt & Supply Chain Management
47	0	Univ Minnesota
47	0	Carlson Sch Management
47	1	Ohio State Univ
47	1	Fisher Coll Business
48	0	Univ Notre Dame
48	0	Mendoza Coll Business
48	0	Dept Management
48	1	Rensselaer Polytech Inst
48	1	Lally Sch Management & Technol
48	2	Univ Minnesota
48	2	Carlson Sch Management
48	2	Operat & Managment Sci Dept
49	0	Oklahoma State Univ
49	0	Coll Business Adm 325
49	1	Michigan State Univ
50	0	Univ Minnesota
50	0	Carlson Sch Management
50	0	Dept Mkt & Logist
50	1	Univ Maryland
50	1	Dept Logist Business & Publ Policy
50	1	Robert H Smith Sch Business
51	0	Coll William & Mary
51	0	Sch Business
52	0	Arizona State Univ
52	0	Dept Supply Chain Management
52	1	Kansas State Univ
52	1	Dept Management
52	1	Coll Business Adm
52	2	Western Michigan Univ
52	2	Haworth Coll Business
53	0	Georgia Inst Technol
53	0	DuPree Coll Management
53	1	Univ Western Ontario
53	1	Richard Ivey Sch Business
53	1	London
54	0	Our Lady Lake Univ
54	0	Sch Business
54	1	Univ Nevada
54	1	Coll Business & Econ
54	1	Dept Management
55	0	Univ S Carolina
55	0	Darla Moore Sch Business
55	0	Dept Management Sci
55	1	Bowling Green State Univ
55	1	Coll Business Adm
55	1	Dept Management
56	0	Univ St Thomas
56	0	Grad Sch Business
56	1	Univ Minnesota
56	1	Curtis L Carlson Sch Management
56	1	Operat & Management Sci Dept
57	0	Arizona State Univ
57	0	Dept Management & Supply Chain Management
57	1	Arizona State Univ
57	1	Dept Management & Ind Engn
57	2	Arizona State Univ
57	2	Dept Management
58	0	Univ Oklahoma
58	0	Div Management
58	0	Michael F Price Coll Business
58	1	Miami Univ
58	1	Dept Management
58	1	Richard T Farmer Sch Business Adm
58	2	Clemson Univ
58	2	Coll Business & Publ Affairs
58	2	Dept Management
59	0	Georgia Inst Technol
59	0	DuPree Coll Management
60	0	Clemson Univ
60	0	Dept Management
60	1	Appalachian State Univ
60	1	Dept Informat Technol & Operat Management
60	2	Appalachian State Univ
60	2	Dept Management
61	0	Cranfield Sch Management
61	0	Cranfield
61	1	Corp Execut Board
62	0	London Business Sch
62	1	Univ Oxford
62	1	Said Business Sch
63	0	Univ Toledo
63	0	Coll Business Adm
63	1	Rochester Inst Technol
63	1	Coll Business
64	0	Univ Utah
64	0	David Eccles Sch Business
64	1	Univ Georgia
64	1	Terry Coll Business
65	0	So Methodist Univ
65	0	Edwin L Cox Sch Business
65	0	Informat Syst & Operat Management Dept
65	1	Depaul Univ
65	1	Kellstadt Grad Sch Business
65	1	Dept Management
65	2	Ball State Univ
65	2	Coll Business
65	2	Dept Management
67	0	Univ S Carolina
67	0	Darla Moore Sch Business
67	0	Dept Management Sci
67	1	Salisbury State Univ
67	1	Perdue Sch Business
67	1	Dept Informat & Decis Sci
68	0	Texas A&M Univ
68	0	Dept Ind Distribut
68	1	Texas A&M Univ
68	1	Dept Informat & Operat Management
69	0	Babson Coll
69	1	Univ Minnesota
69	1	Carlson Sch Management
69	1	Dept Operat & Management Sci
70	0	Univ N Carolina
70	0	Bryan Sch Business & Econ
70	0	Dept Informat Syst & Operat Management
70	1	Univ Ghana
70	1	Sch Adm
71	0	Utah State Univ
71	0	Sch Accountancy
71	1	McGill Univ
71	1	Fac Management
71	1	Montreal
72	0	Florida Atlantic Univ
72	1	Univ Toledo
72	1	Coll Business
73	0	Macquarie Univ
73	0	Grad Sch Management
73	0	Sydney
73	1	Univ Technol Sydney
73	1	Sch Management
73	1	Sydney
74	0	Cardiff Univ
74	0	Logist Syst Dynam Grp
74	0	Cardiff
74	1	IBL Lighting
74	1	Unit C60
75	0	Univ Exeter
75	0	Sch Business & Econ
75	0	Exeter EX4 4PU
75	1	Univ Cambridge
75	1	Ctr Int Mfg
76	0	Cardiff Business Sch
76	0	Lean Enterprise Res Ctr
76	0	Cardiff CF10 3EU
76	1	Univ Bologna
76	1	I-47100 Forli
77	0	London Business Sch
77	1	Univ Oxford
77	1	Said Business Sch
78	0	Helsinki Univ Technol
79	0	State Univ Ghent
79	0	Dept Ind Management
79	1	Mobius Res & Consulting
80	0	Wake Forest Univ
80	0	Babcock Grad Sch Management
80	1	Univ Melbourne
80	1	Melbourne
81	0	Univ Victoria
81	0	Fac Business
81	0	Victoria
82	0	Rensselaer Polytech Inst
82	0	Lally Sch Management & Technol
83	0	Univ Minnesota
83	0	Carlson Sch Management
83	0	Operat & Management Sci Dept
83	1	MarketRx
84	0	Arizona State Univ
84	0	Coll Business
84	0	Dept Management
84	1	Arizona State Univ
84	1	Coll Business
84	1	Dept Supply Chain Management
85	0	Victoria Univ Wellington
85	0	Sch Business & Publ Management
85	1	Univ Otago
85	1	Dept Management
86	0	Univ Alabama
86	0	Dept Management Mkt & Ind Distribut
86	0	UAB Sch Business
86	1	Univ Cincinnati
86	1	Coll Business Adm
86	1	Dept Quantitat Anal & Operat Management
87	0	Arizona State Univ
87	0	Dept Management
87	1	Univ Padua
87	1	Dipartimento Tecn & Gest Sist Ind
88	0	Georgia So Univ
88	0	Coll Business Adm
88	1	Georgia So Univ
88	1	Dept Informat Syst & Logist
89	0	Oklahoma State Univ
89	1	Univ Wisconsin
90	0	Oregon State Univ
90	0	Coll Business
90	1	Univ Florida
90	1	Dept Management
91	0	Univ Western Cape
91	0	Dept Management
91	1	Boston Coll
91	1	Wallace E Carrol Sch Management
91	2	Univ Cape Town
91	2	Grad Sch Business
92	0	Florida Atlantic Univ
92	0	Grad Sch Business
92	1	Univ Toledo
92	1	Coll Business Adm
93	0	Michigan State Univ
93	0	Dept Mkt & Supply Chain Management
93	0	Eli Broad Grad Sch Management
93	1	Depaul Univ
93	1	Dept Management
93	1	Kellstadt Grad Sch Commerce
94	0	Georgia State Univ
94	0	Dept Management
94	0	J Mack Robinson Coll Business
94	1	Vanderbilt Univ
94	1	Owen Grad Sch Management
95	0	Old Dominion Univ
95	0	Dept Informat Syst & Decis Sci
95	0	Coll Business & Publ Adm
95	1	Ohio State Univ
95	1	Dept Management Sci
95	1	Fisher Coll Business
95	2	Univ Nevada
95	2	Dept Management
95	2	Coll Business
96	0	Univ S Carolina
96	0	Moore Sch Business
96	0	Dept Management Sci
96	1	Univ S Carolina
96	1	Moore Sch Business
96	1	Dept Mkt
97	0	Univ Arkansas
97	0	Sam M Walton Coll Business
97	0	Dept Informat Syst
97	1	Texas A&M Univ
97	1	Lowry Mays Coll Business
97	1	Dept Informat & Operat Management
98	0	Stanford Univ
98	0	Dept Management Sci & Engn
98	1	Stanford Univ
98	1	Grad Sch Business
98	2	Univ N Carolina
98	2	Kenan Flagler Business Sch
99	0	Western Illinois Univ
99	0	Coll Business & Technol
99	0	Dept Management
99	1	Univ Western Ontario
99	1	London
100	0	Michigan State Univ
100	0	Eli Broad Grad Sch Management
100	0	Dept Mkt & Supply Chain Management
101	0	Univ Baltimore
101	0	RG Merrick Sch Business
102	0	Michigan State Univ
102	0	Eli Broad Grad Sch Management
102	0	Dept Mkt & Supply Chain Management
103	0	Univ Utah
103	0	David Eccles Sch Business
103	1	Univ Texas
103	1	McCombs Sch Business
103	2	Boston Univ
103	2	Sch Management
103	3	Bentley Coll
104	0	Univ Minnesota
104	0	Dept Operat & Management Sci
104	1	Univ Warwick
104	1	Warwick Business Sch
104	1	Coventry CV4 7AL
104	2	Sam Houston State Univ
104	2	Gibson D Lewis Ctr Business & Econ Dev
104	3	Babson Coll
104	3	Management Div
105	0	Univ Western Ontario
105	0	Richard Ivey Sch Business
105	0	London
105	1	Indiana Univ
105	1	Kelley Sch Business
105	2	Brigham Young Univ
105	2	Marriott Sch Management
106	0	Depaul Univ
106	0	Dept Management
106	1	World Business Dept
106	2	Univ So Calif
106	2	Marshall Sch Business
106	2	Dept Informat & Operat Management
106	3	Michigan State Univ
106	3	Eli Broad Grad Sch Management
106	3	Dept Mkt & Supply Chain Management
106	4	Univ Arizona
106	4	Coll Business & Publ Adm
107	0	Michigan State Univ
107	0	Eli Broad Grad Sch Management
107	0	Dept Mkt & Supply Chain Management
107	1	Harvard Univ
107	1	Sch Business
107	2	Univ N Carolina
107	2	Kenan Flagler Business Sch
108	0	Univ Minnesota
108	0	Curtis L Carlson Sch Management
108	1	Ohio State Univ
108	1	Fisher Coll Business
108	2	Univ Cincinnati
108	2	Coll Business
108	3	Ball State Univ
108	3	Coll Business
108	4	Emory Univ
108	4	Goizueta Sch Business
108	5	Univ Utah
108	5	David Eccles Sch Business
109	0	Wake Forest Univ
109	0	Babcock Grad Sch Management
109	0	Worrell Profess Ctr 3109
110	0	Univ Notre Dame
110	0	Coll Business Adm
111	0	Univ Minnesota
111	0	Carlson Sch Management
111	0	Operat & Management Sci
112	0	Wake Forest Univ
112	0	Babcock Grad Sch Management
113	0	N Carolina State Univ
113	0	Coll Management
114	0	Michigan State Univ
114	0	Eli Broad Grad Sch Management
114	0	Dept Mkt & Supply Chain Management
115	0	Arizona State Univ
115	0	Dept Supply Chain Management
115	1	Univ Minnesota
115	1	Operat & Management Sci Dept
115	2	Metropolitan State Univ
115	2	Management & Informat Syst Dec Sci Dept
116	0	London Business Sch
116	0	Operat & Technol Management Dept
117	0	Univ Minnesota
117	0	Dept Operat & Management Sci
117	1	Ohio State Univ
117	2	Univ Nevada
117	3	Wayne State Univ
118	0	Univ Western Ontario
118	0	Richard Ivey Sch Business
118	0	London
118	1	Ctr Adv Purchasing Studies
119	0	Univ Catolica Portuguesa Porto
119	0	Fac Econ & Gestao
119	1	London Business Sch
120	0	Georgia Inst Technol
120	0	Dupree Coll Management
120	1	Univ Western Ontario
120	1	Richard Ivey Sch Business
120	1	London
121	0	Michigan State Univ
121	0	Eli Broad Coll Business
121	0	Dept Mkt & Supply Chain Management
121	1	Univ S Carolina
121	1	Moore Coll Business
122	0	Michigan State Univ
122	0	CIBER
122	1	Michigan State Univ
122	1	Eli Broad Grad Sch Management
122	1	Dept Mkt & Supply Chain Management
122	2	Florida State Univ
122	2	Coll Business
122	3	FedEx Technol Inst
122	3	Ctr Supply Chain Management
122	4	Univ Memphis
122	4	Fogelman Coll Business & Econ
122	4	Dept Supply Chain & Operat Management
123	0	Boston Coll
123	0	Wallace E Carroll Sch Management
123	0	Dept Operat & Strateg Management
124	0	Univ Sevilla
124	0	GIDEAO Res Grp
124	0	Dpto Econ Financiera & Direcc Operaciones
124	1	Univ Carlos III Madrid
124	1	Dpto Econ Empresa
124	1	E-28903 Getafe
125	0	Utah State Univ
125	0	Sch Accountancy
