INT J IND ORGAN	53	0.0316
ADM SCI Q	52	0.0310
PSYCHOL REV	52	0.0310
MULTIVAR BEHAV RES	52	0.0310
THESIS MIT CAMBRIDGE	52	0.0310
ACCOUNT ORG SOC	52	0.0310
J ECON MANAGE STRAT	51	0.0304
OR SPECTRUM	51	0.0304
TRANSPORT RES E-LOG	51	0.0304
NEW ENGL J MED	50	0.0298
MIS Q	50	0.0298
FORTUNE	50	0.0298
PRODUCT DEV PERFORMA	50	0.0298
Health Care Manag Sci	50	0.0298
MACHINE CHANGED WORL	50	0.0298
THEORY PRACTICE REVE	49	0.0292
J ACCOUNT ECON	48	0.0286
MARKETS HIERARCHIES	48	0.0286
J LAW ECON ORGAN	48	0.0286
ECONOMETRIC ANAL	46	0.0274
QUALITY MANAGEMENT J	46	0.0274
APPL MULTIPLE REGRES	46	0.0274
OUT CRISIS	46	0.0274
MAIL TELEPHONE SURVE	45	0.0268
ENTREP THEORY PRACT	45	0.0268
FDN INVENTORY MANAGE	45	0.0268
BUS WEEK	45	0.0268
EC I CAPITALISM	44	0.0262
J ECON LIT	44	0.0262
MARKET LETT	43	0.0256
SERV IND J	43	0.0256
ORGAN BEHAV HUM PERF	43	0.0256
TOYOTA PRODUCTION SY	43	0.0256
BRIT J MANAGE	43	0.0256
INFORMATION SYSTEMS	42	0.0250
J ACCOUNTING RES	42	0.0250
COMPETITIVE ADVANTAG	42	0.0250
AIIE T	42	0.0250
RES TECHNOL MANAGE	42	0.0250
SYST DYNAM REV	42	0.0250
MAIL INTERNET SURVEY	41	0.0244
DESIGNING COMPLEX OR	41	0.0244
INVENTORY MANAGEMENT	41	0.0244
TESTING STRUCTURAL E	41	0.0244
HEALTH CARE MANAGE R	40	0.0239
SOCIOL METHOD RES	40	0.0239
TQM MAGAZINE	40	0.0239
DISCOVERY GROUNDED T	40	0.0239
MULTIPLE REGRESSION	39	0.0233
J IND ECOL	39	0.0233
ANESTH ANALG	39	0.0233
ANN APPL PROBAB	39	0.0233
QUALITATIVE DATA ANA	39	0.0233
IND ENG	38	0.0227
International Journal of Flexible Manufacturing Systems	38	0.0227
IND LABOR RELAT REV	38	0.0227
J APPL PROBAB	37	0.0221
INFORM MANAGE-AMSTER	36	0.0215
HARVARD BUSINESS MAY	36	0.0215
Decision Sciences	36	0.0215
IN PRESS PRODUCTION	36	0.0215
HARVARD BUSINESS MAR	36	0.0215
MANAGE SCI B-APPL	36	0.0215
Cornell Hotel and Restaurant Administration Quarterly	36	0.0215
J BUS ETHICS	36	0.0215
BUSINESS STRATEGY EN	36	0.0215
IEEE T AUTOMAT CONTR	36	0.0215
WORLD CLASS MANUFACT	35	0.0209
MATH PROGRAM	34	0.0203
TRANSPORT J	34	0.0203
HEALTH AFFAIR	34	0.0203
COLUMBIA J WORLD BUS	34	0.0203
MED CARE	33	0.0197
EDUC PSYCHOL MEAS	33	0.0197
INT ECON REV	33	0.0197
DYNAMIC MANUFACTURIN	33	0.0197
SERVICE MANAGEMENT O	33	0.0197
IEEE T SOFTWARE ENG	33	0.0197
NY TIMES	32	0.0191
ANNU REV PSYCHOL	32	0.0191
PURCHASING	32	0.0191
CLOCKSPEED WINNING I	32	0.0191
TOTAL QUAL MANAG BUS	32	0.0191
GAME THEORY	32	0.0191
CULTURES CONSEQUENCE	32	0.0191
Production and Inventory Management	31	0.0185
J SMALL BUS MANAGE	31	0.0185
DYNAMIC PROGRAMMING	31	0.0185
J INT MARKETING	31	0.0185
MANAGERIAL DECISION	31	0.0185
J REVENUE PRICING MA	31	0.0185
INTRO SUPPLY CHAIN M	31	0.0185
RISK ANAL	31	0.0185
ANN MATH STAT	31	0.0185
PROD OPER M IN PRESS	30	0.0179
ORG ENV	30	0.0179
Journal of Business Logistics	30	0.0179
OPER RES QUART	30	0.0179
IN PRESS MANAGEMENT	30	0.0179
SERVICE PROFIT CHAIN	30	0.0179
INT J FLEX MANUF SYS	30	0.0179
J QUAL TECHNOL	30	0.0179
APPL LINEAR STAT MOD	30	0.0179
COMPETING WORLD CLAS	29	0.0173
J ENVIRON ECON MANAG	29	0.0173
INT J RETAIL DISTRIB	29	0.0173
J OPTIMIZ THEORY APP	29	0.0173
THEORY IND ORG	29	0.0173
AM PSYCHOL	29	0.0173
IBM SYST J	29	0.0173
SIMULATION MODELING	28	0.0167
MANUFACTURING PLANNI	28	0.0167
PROBAB ENG INFORM SC	28	0.0167
MANAGEMENT INNOVATIO	28	0.0167
ANESTHESIOLOGY	28	0.0167
IND MANAGE DATA SYST	28	0.0167
J MANUF SYST	28	0.0167
ORG DESIGN	28	0.0167
MANAGE INT REV	27	0.0161
EXTERNAL CONTROL ORG	27	0.0161
SOCIOLOGY	27	0.0161
IND RELAT	27	0.0161
OPERATIONS STRATEGY	27	0.0161
EVOLUTIONARY THEORY	27	0.0161
IEEE T SEMICONDUCT M	27	0.0161
J ROY STAT SOC B	27	0.0161
J CLEAN PROD	27	0.0161
MASS CUSTOMIZATION N	27	0.0161
J BUS STRAT	26	0.0155
PRODUCT VARIETY MANA	26	0.0155
ECONOMICA-NEW SER	26	0.0155
J BEHAV DECIS MAKING	26	0.0155
INT J HUM RESOUR MAN	26	0.0155
J QUALITY PARTICIPAT	26	0.0155
HUM RESOURCE MANAGE	25	0.0149
BEHAV THEORY FIRM	25	0.0149
IIE T	25	0.0149
PROJECT MANAGEMENT J	25	0.0149
INFORM MANAGE	25	0.0149
ENERG POLICY	25	0.0149
HARVARD BUSINESS JUL	25	0.0149
Journal of Manufacturing and Operations Management	25	0.0149
J BUS LOGIST	25	0.0149
BIOMETRIKA	24	0.0143
J RISK UNCERTAINTY	24	0.0143
COMPUT IND	24	0.0143
TECHNOL FORECAST SOC	24	0.0143
ECON THEOR	24	0.0143
J SCHED	24	0.0143
REV FINANC STUD	24	0.0143
IND DYNAMICS	24	0.0143
INT J FORECASTING	24	0.0143
SOC NETWORKS	23	0.0137
MANUFACTURING STRATEGY : THE RESEARCH AGENDA FOR THE NEXT DECADE	23	0.0137
ACADEMY MANAGEMENT E	23	0.0137
ECONOMETRIC ANAL CRO	23	0.0137
J ECONOMETRICS	23	0.0137
SERVICE ENCOUNTER	23	0.0137
ORG STRATEGY STRUCTU	23	0.0137
ENG COST PROD ECON	23	0.0137
J MARKETING THEORY P	23	0.0137
J PUBLIC ECON	23	0.0137
ADV APPL PROBAB	23	0.0137
CALIFORNIA MANAGEMEN	23	0.0137
ANN INTERN MED	22	0.0131
ECON LETT	22	0.0131
INT J LOGISTICS MANA	22	0.0131
JAPANESE MANUFACTURI	22	0.0131
HDB IND ORG PSYCHOL	22	0.0131
AT&T TECH J	22	0.0131
BUSINESS ASPECTS CLO	22	0.0131
ORGANIZATIONS	22	0.0131
Queueing Systems Theory and Applications	22	0.0131
TECHNOMETRICS	22	0.0131
INT J ELECTRON COMM	22	0.0131
RES ENG DES	22	0.0131
International Journal of Physical Distribution & Materials Management	21	0.0125
Management Science	21	0.0125
INFORMS J COMPUT	21	0.0125
MARKOV DECISION PROC	21	0.0125
EC I CAPITALISM FIRM	21	0.0125
PLANNING REV	21	0.0125
HDB QUANTITATIVE SUP	21	0.0125
HARVARD BUSINESS SEP	21	0.0125
J WORLD BUS	21	0.0125
EUR ECON REV	21	0.0125
NEW SERVICE DEV CREA	21	0.0125
RELIABILITY VALIDITY	21	0.0125
PRODUCTION OPER MANA	21	0.0125
TIME BASED COMPETITI	21	0.0125
J STRATEGIC INF SYST	21	0.0125
J APPL BEHAV SCI	21	0.0125
EQS STRUCTURAL EQUAT	21	0.0125
J MECH DESIGN	20	0.0119
MANAGEMENT SERVICE O	20	0.0119
GROUP ORGAN MANAGE	20	0.0119
THEORY GROWTH FIRM	20	0.0119
OPER RES IN PRESS	20	0.0119
FINANC MANAGE	20	0.0119
J QUALITY MANAGEMENT	20	0.0119
INFORM SYST MANAGE	20	0.0119
REVOLUTIONIZING PROD	20	0.0119
PRODUCT DESIGN DEV	20	0.0119
IND MANAGEMENT	20	0.0119
EUR J INFORM SYST	20	0.0119
SCHEDULING THEORY AL	20	0.0119
INFOR	20	0.0119
ECON INQ	20	0.0119
TRANSPORT RES B-METH	20	0.0119
ADV MANAGEMENT ORG Q	20	0.0119
LECT NOTES COMPUT SC	20	0.0119
CONCURRENT ENG-RES A	20	0.0119
HDB TECHNOLOGY MANAG	19	0.0113
PSYCHOL MARKET	19	0.0113
SAM ADV MANAGE J	19	0.0113
MARK MANAG	19	0.0113
NAV RES LOGIST Q	19	0.0113
BROOKINGS PAPERS EC	19	0.0113
APPL PSYCH MEAS	19	0.0113
IEEE T ROBOTIC AUTOM	19	0.0113
J PERSONAL SELLING S	19	0.0113
INT J LOGIST-RES APP	19	0.0113
NATURE	19	0.0113
HOSP HEALTH SERV ADM	19	0.0113
FDN STOCHASTIC INVEN	19	0.0113
J PURCHASING MATERIA	19	0.0113
KNOWLEDGE CREATING C	19	0.0113
TOTAL QUALITY MANAGE	19	0.0113
ORG THEORY DESIGN	19	0.0113
THEORY INCENTIVES PR	19	0.0113
HARVARD BUSINESS JAN	18	0.0107
J SAFETY RES	18	0.0107
DESIGNING MANAGING S	18	0.0107
J CROSS CULT PSYCHOL	18	0.0107
PUBLIC OPIN QUART	18	0.0107
ORG LEARNING CREATIN	18	0.0107
MANAGE REV	18	0.0107
HUMAN RESOURCE MANAG	18	0.0107
INT MARKET REV	18	0.0107
OR SPEKTRUM	18	0.0107
J HEALTH ECON	18	0.0107
MANAG REV	18	0.0107
ZERO INVENTORIES	18	0.0107
MANAGE ACCOUNTING	18	0.0107
HARVARD BUSINESS REV	18	0.0107
MASS SPECTROM REV	18	0.0107
HIGH PERFORMANCE MAN	18	0.0107
STAT POWER ANAL BEHA	18	0.0107
Integrated Manufacturing Systems	17	0.0101
INT J MANAGEMENT	17	0.0101
BIOMETRICS	17	0.0101
SOCIOL METHODOL	17	0.0101
BUSINESS PROCESS MAN	17	0.0101
DELIVERING QUALITY S	17	0.0101
ADV CONSUM RES	17	0.0101
J BANK FINANC	17	0.0101
SLOAN MANAGEMENT FAL	17	0.0101
STOCHASTIC MODELS MA	17	0.0101
IND WEEK	17	0.0101
INT J PROJ MANAG	17	0.0101
J MARKETING MANAGEME	17	0.0101
DIFFUSION INNOVATION	17	0.0101
J INTERACT MARK	17	0.0101
MANAG SERV QUAL	17	0.0101
INT J INFORM MANAGE	17	0.0101
HDB OR MS	17	0.0101
MANAGE DECIS	17	0.0101
FDN BEHAV RES	17	0.0101
LEADERSHIP QUART	17	0.0101
APPL MULTIVARIATE ST	17	0.0101
J ASSOC INF SYST	16	0.0095
COMPUTER	16	0.0095
LOGISTICS INFORMATIO	16	0.0095
J IND ENGINEERING	16	0.0095
Health Care Manage Rev	16	0.0095
INT STUDIES MANAGEME	16	0.0095
ACM COMPUT SURV	16	0.0095
J MANAGERIAL ISSUES	16	0.0095
Logistics Information Management	16	0.0095
SAFETY SCI	16	0.0095
NONLINEAR PROGRAMMIN	16	0.0095
J FINANC QUANT ANAL	16	0.0095
J CHILD FAM STUD	16	0.0095
J MARKET RES SOC	16	0.0095
STUDIES MATH THEORY	16	0.0095
HDB EXPT EC	16	0.0095
J HIGH TECHNOLOGY MA	16	0.0095
AM STAT	16	0.0095
J FORECASTING	16	0.0095
THESIS MIT	16	0.0095
EUROPEAN J OPERATION	16	0.0095
WORK MOTIVATION	15	0.0089
SIAM J APPL MATH	15	0.0089
J BUS IND MARK	15	0.0089
J HEALTHC MANAG	15	0.0089
J IND ENG	15	0.0089
MARK RES	15	0.0089
International Transactions in Operational Research	15	0.0089
AUTOMOTIVE NEWS	15	0.0089
COMPETING TIME	15	0.0089
MANAGEMENT CONTROL Q	15	0.0089
STOCHASTIC ORDERS TH	15	0.0089
MANUFACTURING FUTURE	15	0.0089
COMBINATORIAL AUCTIO	15	0.0089
IND ORG THEORY PRACT	15	0.0089
CLUSTER ANAL	15	0.0089
J LABOR ECON	15	0.0089
TECHNICAL REPORT	15	0.0089
STOCHASTIC PROCESSES	15	0.0089
J INT MANAG	15	0.0089
ACAD MANAGE PERSPECT	15	0.0089
LOGISTICS SUPPLY CHA	15	0.0089
SUPERMODULARITY COMP	15	0.0089
J TRAUMA	15	0.0089
International Journal of Quality Reliability Management	15	0.0089
NETWORKS	15	0.0089
J MATH ECON	15	0.0089
ASIA PACIFIC J MANAG	15	0.0089
REVERSE LOGISTICS QU	15	0.0089
PUBLIC ADMIN REV	15	0.0089
HDB IND ORG	14	0.0083
ACAD EMERG MED	14	0.0083
PRINCIPLES PRACTICE	14	0.0083
ADV STRATEG MANAGE	14	0.0083
HDB ORG	14	0.0083
STOCHASTIC MODELING	14	0.0083
HDB SERVICES MARKETI	14	0.0083
J BUSINESS FORECASTI	14	0.0083
HUMAN RESOURCE PLANN	14	0.0083
Journal of Purchasing and Supply Management	14	0.0083
ORG ENV MANAGING DIF	14	0.0083
BUS SOC	14	0.0083
J EXP SOC PSYCHOL	14	0.0083
QUALITY	14	0.0083
IN PRESS MANUFACTURI	14	0.0083
TECHNOL ANAL STRATEG	14	0.0083
LISREL 8 USERS REFER	14	0.0083
MANAGEMENT SCI	14	0.0083
CASE STUDY RES	14	0.0083
MODERN FACTOR ANAL	14	0.0083
SERVICE OPERATIONS M	14	0.0083
DISCRETE CHOICE THEO	14	0.0083
ECONOMIST	14	0.0083
J ACM	14	0.0083
MANAGING FLOW TECHNO	14	0.0083
ENVIRON SCI TECHNOL	14	0.0083
SERVICES MARKETING	14	0.0083
COMPUTERS INTRACTABI	14	0.0083
CONTINGENCY THEORY O	14	0.0083
COMPUTERWORLD	13	0.0078
PRINCIPLES SCI MANAG	13	0.0078
MODERN METHODS BUSIN	13	0.0078
SLOAN MANAGEMENT WIN	13	0.0078
INT J PHYS DISTR LOG	13	0.0078
J ADVERTISING RES	13	0.0078
MANUFACTURING SYSTEM	13	0.0078
SLOAN MANAGEMENT SPR	13	0.0078
SCI AM	13	0.0078
PRICES QUALITY TRUST	13	0.0078
J BUS ECON STAT	13	0.0078
HDB ORG DESIGN	13	0.0078
STRATEGY LEADERSHIP	13	0.0078
QUALITY PLANNING ANA	13	0.0078
P NATL ACAD SCI USA	13	0.0078
STRATEGIC IND SOURCI	13	0.0078
J NATL CANCER I	13	0.0078
TRANSPORT RES A-POL	13	0.0078
INT J QUALITY SCI	13	0.0078
DESIGN RULES POWER M	13	0.0078
QUASIEXPERIMENTATION	13	0.0078
SCALE DEV THEORY APP	13	0.0078
SOCIAL PSYCHOL ORG	13	0.0078
IN PRESS OPERATIONS	12	0.0072
STUDIES APPL PROBABI	12	0.0072
QUALITY IS FREE	12	0.0072
REV IND ORGAN	12	0.0072
J AM MED INFORM ASSN	12	0.0072
RESTORING COMPETITIV	12	0.0072
BUSINESS STRATEGY RE	12	0.0072
International Journal of Project Management	12	0.0072
IIE SOLUTIONS	12	0.0072
PURCHASING SUPPLY MA	12	0.0072
PROJECT MANAGEMENT M	12	0.0072
Annals of Operations Research	12	0.0072
MED DECIS MAKING	12	0.0072
HARVARD BUSINESS NOV	12	0.0072
DISCRETE CHOICE ANAL	12	0.0072
RELIAB ENG SYST SAFE	12	0.0072
PERS SOC PSYCHOL B	12	0.0072
J SOC PSYCHOL	12	0.0072
IEEE T SYST MAN CY A	12	0.0072
LANCET	12	0.0072
SLOAN MANAGEMENT SUM	12	0.0072
DATA ENVELOPMENT ANA	12	0.0072
USING MULTIVARIATE S	12	0.0072
BUSINESS SOC	12	0.0072
EXCHANGE POWER SOCIA	12	0.0072
BRIT MED J	12	0.0072
THESIS ERASMUS U ROT	12	0.0072
