CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	DATA ENVELOPMENT ANALYSIS	0.0400	0.0133	0.1727	1.1625	0.0143
0	BREAKTHROUGH PRODUCTS	0.0400	0.0267	0.1450	0.4138	0.0143
0	QUALITY RISK	0.0400	0.0133	0.1727	1.1625	0.0102
0	LEAN AND GREEN OPERATIONS	0.1200	0.1200	0.2544	0.0000	0.0133
0	COMPETITIVE ADVANTAGE	0.2400	0.2267	0.3562	0.1592	0.0246
0	EMPIRICAL RESEARCH METHODS	0.0400	0.0133	0.1727	1.1625	0.0143
0	KLD	0.0400	0.0133	0.1727	1.1625	0.0143
0	CLOSED-LOOP SUPPLY CHAINS	0.1200	0.1200	0.2544	0.0000	0.0133
0	SERVICE PROFIT CHAIN	0.0400	0.0133	0.1727	1.1625	0.0143
0	INTERNATIONAL MANAGEMENT	0.1200	0.0400	0.3863	2.0412	0.0164
0	THEORY VERIFYING	0.1200	0.1200	0.2544	0.0000	0.0154
0	SUSTAINABILITY	0.2000	0.1467	0.3839	0.7538	0.0304
0	OPERATIONS STRATEGY	0.0400	0.0400	0.1288	0.0000	0.0143
0	SME SUPPLIERS	0.0400	0.0133	0.1727	1.1625	0.0088
0	AWARDS	0.0400	0.0400	0.1288	0.0000	0.0143
0	LABORATORY RESEARCH	0.1200	0.1200	0.2544	0.0000	0.0154
0	INVENTORY MANAGEMENT	0.0400	0.0133	0.1727	1.1625	0.0143
0	FIELD RESEARCH	0.1200	0.1200	0.2544	0.0000	0.0154
0	MANUFACTURING AND SOURCING STRATEGY	0.0400	0.0133	0.1727	1.1625	0.0102
0	ENVIRONMENT	0.1200	0.0933	0.2846	0.4583	0.0131
0	SUPPLY CHAIN	0.0400	0.0267	0.1450	0.4138	0.0082
0	CERTIFICATIONS	0.0400	0.0400	0.1288	0.0000	0.0143
0	QUALITATIVE RESEARCH	0.1200	0.1200	0.2544	0.0000	0.0154
0	MANUFACTURING	0.1200	0.1200	0.2544	0.0000	0.0154
0	STOCK MARKET REACTION	0.0400	0.0400	0.1288	0.0000	0.0143
0	EFFICIENCY	0.0400	0.0133	0.1727	1.1625	0.0143
0	LEAN MANUFACTURING	0.0400	0.0133	0.1727	1.1625	0.0143
0	SUSTAINABLE OPERATIONS	0.1200	0.1200	0.2544	0.0000	0.0133
0	CASE STUDY	0.1200	0.1200	0.2544	0.0000	0.0154
0	ARCHIVAL RESEARCH	0.1200	0.1200	0.2544	0.0000	0.0154
0	CUSTOMER LOYALTY	0.0400	0.0133	0.1727	1.1625	0.0143
0	ENVIRONMENTAL MANAGEMENT AND OPERATIONS	0.1200	0.1200	0.2544	0.0000	0.0133
0	SURVEY	0.0400	0.0667	0.1083	-0.5345	0.0098
0	LEAN PRODUCTION	0.1200	0.0933	0.2846	0.4583	0.0131
0	ENVIRONMENTAL ISSUES	0.0400	0.0133	0.1727	1.1625	0.0088
0	FINANCIAL/ECONOMIC ANALYSIS	0.0400	0.0133	0.1727	1.1625	0.0143
0	THEORY BUILDING	0.1200	0.1200	0.2544	0.0000	0.0154
0	QUALITY	0.1200	0.0933	0.2846	0.4583	0.0131
0	MARKET VALUE	0.0400	0.0400	0.1288	0.0000	0.0143
1	TQM	0.0294	0.1067	0.0658	-1.4593	0.0067
1	ISO 9000	0.0294	0.0267	0.1066	0.0994	0.0065
1	STAKEHOLDER PRESSURE	0.0294	0.0133	0.1270	0.8174	0.0097
1	SUPPLY CHAIN MANAGEMENT	0.0588	0.0933	0.1395	-0.6917	0.0089
1	CORPORATE REPORTS	0.0294	0.0133	0.1270	0.8174	0.0060
1	COMPETITIVE CAPABILITIES	0.0294	0.0133	0.1270	0.8174	0.0064
1	ENTERPRISE NETWORKS	0.0294	0.0133	0.1270	0.8174	0.0092
1	LOGIT ANALYSIS	0.0294	0.0133	0.1270	0.8174	0.0050
1	ENVIRONMENTAL INNOVATION	0.0294	0.0267	0.1066	0.0994	0.0074
1	ENVIRONMENTAL PERFORMANCE	0.0588	0.0400	0.1893	0.5601	0.0097
1	QUALITY MANAGEMENT	0.1176	0.1200	0.2494	-0.0422	0.0194
1	ENVIRONMENTAL AND OPERATIONS MANAGEMENT	0.0294	0.0133	0.1270	0.8174	0.0097
1	FIELD RESEARCH	0.0882	0.1200	0.1871	-0.5700	0.0104
1	METRICS	0.0294	0.0133	0.1270	0.8174	0.0060
1	DECISION-MAKING	0.0588	0.0400	0.1893	0.5601	0.0088
1	BY-PRODUCTS	0.0294	0.0267	0.1066	0.0994	0.0057
1	ENTERPRISE TRANSFORMATION	0.0294	0.0133	0.1270	0.8174	0.0092
1	CONTENT ANALYSIS	0.0294	0.0133	0.1270	0.8174	0.0060
1	OPERATIONS MANAGEMENT	0.0588	0.0267	0.2132	1.1639	0.0169
1	NATURAL ENVIRONMENT	0.0294	0.0133	0.1270	0.8174	0.0070
1	SUSTAINABILITY	0.1471	0.1467	0.2823	0.0065	0.0213
1	COMPETITIVE ADVANTAGE	0.1471	0.2267	0.2183	-1.1087	0.0231
1	AWARDS	0.0588	0.0400	0.1893	0.5601	0.0097
1	LABORATORY RESEARCH	0.0882	0.1200	0.1871	-0.5700	0.0104
1	ISO 9000 STANDARD	0.0294	0.0133	0.1270	0.8174	0.0065
1	ENVIRONMENT	0.0294	0.0933	0.0698	-1.2813	0.0067
1	GRAPHICAL DISPLAYS	0.0588	0.0267	0.2132	1.1639	0.0097
1	QUALITATIVE RESEARCH	0.0882	0.1200	0.1871	-0.5700	0.0104
1	STOCK MARKET REACTION	0.0588	0.0400	0.1893	0.5601	0.0097
1	INTERDISCIPLINARY	0.0294	0.0133	0.1270	0.8174	0.0092
1	ORGANIZATIONAL BEHAVIOR	0.0294	0.0133	0.1270	0.8174	0.0092
1	GLOBAL DIFFUSION	0.0294	0.0133	0.1270	0.8174	0.0072
1	NETWORK-CENTRIC ENTERPRISE	0.0294	0.0133	0.1270	0.8174	0.0092
1	SUSTAINABLE OPERATIONS	0.0882	0.1200	0.1871	-0.5700	0.0117
1	INFORMATION TECHNOLOGY	0.0294	0.0133	0.1270	0.8174	0.0092
1	US MANUFACTURING INDUSTRIES	0.0882	0.0800	0.2229	0.1770	0.0113
1	EMPIRICAL RESEARCH	0.2059	0.1867	0.3456	0.2876	0.0279
1	GREEN SUPPLY CHAIN MANAGEMENT	0.0588	0.0933	0.1395	-0.6917	0.0088
1	HUMAN RESOURCE TRAINING	0.0294	0.0133	0.1270	0.8174	0.0097
1	ENVIRONMENTAL MANAGEMENT SYSTEMS	0.0882	0.0533	0.2586	0.9057	0.0122
1	ISO 14001	0.0882	0.0667	0.2389	0.5042	0.0122
1	ISO 14000	0.0588	0.0267	0.2132	1.1639	0.0126
1	MANUFACTURING	0.0882	0.1200	0.1871	-0.5700	0.0104
1	LEAN PRODUCTION	0.0294	0.0933	0.0698	-1.2813	0.0067
1	STAKEHOLDERS	0.0294	0.0133	0.1270	0.8174	0.0070
1	MULTI-STAKEHOLDER CONSTRUCTS	0.0294	0.0133	0.1270	0.8174	0.0097
