CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	SPOT MARKETS	0.0204	0.0204	0.0794	0.0000	-1.0000
0	PROFIT-SEEKING STRATEGY	0.0204	0.0204	0.0794	0.0000	-1.0000
0	INFLUENZA VACCINE	0.0204	0.0204	0.0794	0.0000	-1.0000
0	PROCUREMENT POLICIES	0.0408	0.0408	0.1306	0.0000	-1.0000
0	BANKRUPTCY	0.0612	0.0612	0.1710	0.0000	-1.0000
0	SAFETY STOCK	0.0204	0.0204	0.0794	0.0000	-1.0000
0	RANDOM LEAD-TIME	0.0204	0.0204	0.0794	0.0000	-1.0000
0	COMPETITION	0.0204	0.0204	0.0794	0.0000	-1.0000
0	COURNOT COMPETITION	0.0816	0.0816	0.2045	0.0000	-1.0000
0	FRUIT FUTURES	0.0408	0.0408	0.1306	0.0000	-1.0000
0	SUPPLY DIVERSIFICATION	0.1020	0.1020	0.2329	0.0000	-1.0000
0	CAPACITY INVESTMENT	0.0204	0.0204	0.0794	0.0000	-1.0000
0	MARKET STRUCTURE	0.0204	0.0204	0.0794	0.0000	-1.0000
0	YIELD-DEPENDENT TRADING COSTS	0.0408	0.0408	0.1306	0.0000	-1.0000
0	OPERATIONS STRATEGY	0.1020	0.1020	0.2329	0.0000	-1.0000
0	INVENTORY SYSTEMS	0.0408	0.0408	0.1306	0.0000	-1.0000
0	INCENTIVES AND CONTRACTING	0.0612	0.0612	0.1710	0.0000	-1.0000
0	TRANSSHIPMENT	0.0204	0.0204	0.0794	0.0000	-1.0000
0	SUPPLIER SELECTION	0.0408	0.0408	0.1306	0.0000	-1.0000
0	COMPLEXITY	0.0204	0.0204	0.0794	0.0000	-1.0000
0	REGULATORY TRADE RISK	0.0408	0.0408	0.1306	0.0000	-1.0000
0	CAPACITY PLANNING AND INVESTMENT	0.0204	0.0204	0.0794	0.0000	-1.0000
